ID;year;constructorId;name;points;wins;target;avg_driver_points;avg_grid_position;avg_final_position;dnf_count;total_driver_points
190;1970;82;Matra;23.0;0;0;0.9230769230769231;10.307692307692308;9.307692307692308;14;196.0
191;1970;85;Bellasi;0.0;0;0;0.0;4.8;23.4;5;0.0
192;1970;86;De Tomaso;0.0;0;0;0.0;13.8;16.2;10;0.0
193;1970;187;McLaren-Ford;35.0;0;0;1.2;11.8;10.6;19;203.0
194;1970;198;McLaren-Alfa Romeo;0.0;0;0;0.0;6.545454545454546;18.454545454545453;9;0.0
195;1971;1;McLaren;10.0;0;0;0.48148148148148145;13.444444444444445;14.148148148148149;20;62.0
196;1971;6;Ferrari;33.0;2;0;1.5714285714285714;5.821428571428571;12.464285714285714;18;325.0
197;1971;25;Tyrrell;73.0;7;1;3.8260869565217392;5.608695652173913;7.913043478260869;8;514.0
198;1971;34;Brabham;5.0;0;0;0.28;13.88;15.2;17;29.0
199;1971;63;Surtees;8.0;0;0;0.3333333333333333;15.296296296296296;12.592592592592593;16;46.0
200;1971;66;BRM;36.0;2;0;1.105263157894737;10.789473684210526;11.421052631578947;15;131.0
201;1971;82;Matra;9.0;0;0;0.5882352941176471;7.647058823529412;10.529411764705882;9;78.0
202;1971;85;Bellasi;0.0;0;0;0.0;22.0;21.0;1;0.0
203;1971;180;Lotus-Ford;21.0;0;0;1.1904761904761905;11.761904761904763;11.619047619047619;13;121.0
204;1971;199;March-Alfa Romeo;0.0;0;0;0.0;19.8;15.2;6;9.0
205;1971;200;March-Ford;33.0;0;0;0.8604651162790697;15.837209302325581;13.767441860465116;29;167.0
206;1971;201;Lotus-Pratt &amp;0.0;0;0;0.0;19.666666666666668;14.333333333333334;3;20.0
207;1972;1;McLaren;47.0;1;0;2.64;6.48;6.68;7;374.0
208;1972;6;Ferrari;33.0;1;0;1.5666666666666667;6.4;10.5;19;320.0
209;1972;25;Tyrrell;51.0;4;0;2.4;7.4;10.04;14;324.0
210;1972;32;Team Lotus;61.0;5;1;2.1785714285714284;12.178571428571429;13.428571428571429;16;423.0
211;1972;34;Brabham;7.0;0;0;0.21875;14.75;13.9375;18;28.0
212;1972;37;March;15.0;0;0;0.234375;17.6875;14.234375;37;97.0
213;1972;63;Surtees;18.0;0;0;0.4864864864864865;14.405405405405405;15.702702702702704;26;102.0
214;1972;66;BRM;14.0;1;0;0.2978723404255319;15.72340425531915;16.48936170212766;30;107.0
215;1972;81;Tecno;0.0;0;0;0.0;20.285714285714285;23.714285714285715;7;0.0
216;1972;82;Matra;12.0;0;0;1.0;8.416666666666666;10.416666666666666;7;73.0
217;1972;83;Politoys;0.0;0;0;0.0;26.0;24.0;1;0.0
218;1972;84;Connew;0.0;0;0;0.0;25.0;21.0;1;0.0
219;1973;1;McLaren;58.0;3;0;1.9428571428571428;5.514285714285714;8.742857142857142;14;494.0
220;1973;6;Ferrari;12.0;0;0;0.7368421052631579;10.631578947368421;11.0;11;107.0
221;1973;25;Tyrrell;82.0;5;0;3.5757575757575757;6.636363636363637;7.787878787878788;11;1058.0
222;1973;32;Team Lotus;92.0;7;1;3.4516129032258065;4.0;8.64516129032258;14;841.0
223;1973;34;Brabham;22.0;0;0;0.5365853658536586;13.073170731707316;12.951219512195122;25;122.0
224;1973;37;March;14.0;0;0;0.3333333333333333;16.976190476190474;14.976190476190476;34;51.0
225;1973;57;Ensign;0.0;0;0;0.0;21.285714285714285;19.0;5;0.0
226;1973;58;Shadow;9.0;0;0;0.23684210526315788;18.973684210526315;15.473684210526315;24;64.0
227;1973;63;Surtees;7.0;0;0;0.2;12.914285714285715;14.82857142857143;21;31.0
